job_id,job_description
156,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
157,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
158,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
159,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
160,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
161,AI product manager with background in NLP and ML model lifecycle management.
162,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
163,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
164,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
165,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
166,AI product manager with background in NLP and ML model lifecycle management.
167,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
168,AI product manager with background in NLP and ML model lifecycle management.
169,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
170,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
171,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
172,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
173,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
174,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
175,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
176,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
177,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
178,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
179,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
180,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
181,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
182,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
183,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
184,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
185,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
186,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
187,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
188,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
189,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
190,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
191,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
192,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
193,AI product manager with background in NLP and ML model lifecycle management.
194,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
195,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
196,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
197,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
198,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
199,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
200,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
201,AI product manager with background in NLP and ML model lifecycle management.
202,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
203,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
204,AI product manager with background in NLP and ML model lifecycle management.
205,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
206,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
207,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
208,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
209,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
210,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
211,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
212,AI product manager with background in NLP and ML model lifecycle management.
213,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
214,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
215,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
216,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
217,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
218,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
219,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
220,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
221,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
222,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
223,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
224,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
225,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
226,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
227,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
228,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
229,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
230,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
231,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
232,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
233,AI product manager with background in NLP and ML model lifecycle management.
234,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
235,AI product manager with background in NLP and ML model lifecycle management.
236,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
237,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
238,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
239,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
240,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
241,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
242,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
243,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
244,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
245,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
246,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
247,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
248,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
249,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
250,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
251,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
252,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
253,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
254,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
255,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
256,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
257,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
258,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
259,AI product manager with background in NLP and ML model lifecycle management.
260,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
261,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
262,AI product manager with background in NLP and ML model lifecycle management.
263,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
264,AI product manager with background in NLP and ML model lifecycle management.
265,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
266,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
267,AI product manager with background in NLP and ML model lifecycle management.
268,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
269,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
270,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
271,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
272,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
273,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
274,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
275,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
276,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
277,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
278,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
279,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
280,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
281,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
282,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
283,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
284,"Cloud architect skilled in AWS, Terraform, and scalable microservices."
285,"Web developer with experience in HTML5, CSS3, JavaScript, and jQuery."
286,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
287,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
288,"Backend engineer with expertise in Node.js, Express, and PostgreSQL."
289,"Looking for a full-stack developer with React, Node.js, AWS, and Docker experience."
290,"Senior AI engineer experienced in PyTorch, Hugging Face Transformers, and MLOps."
291,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
292,AI product manager with background in NLP and ML model lifecycle management.
293,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
294,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
295,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
296,"Frontend developer specializing in React.js, Next.js, and CSS frameworks."
297,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
298,"DevOps specialist with knowledge of CI/CD pipelines, Docker, and Kubernetes."
299,ML engineer proficient in training LLMs using PEFT and LoRA techniques.
300,"Data scientist familiar with Python, pandas, scikit-learn, and model deployment."
