resume,job_description,label
"Experienced developer skilled in Redis, React, Flask, Django, TypeScript.","We are looking for a developer with experience in PostgreSQL, Docker, GraphQL, Express.js, Next.js.",0
"Experienced developer skilled in Next.js, Flask, Node.js, PostgreSQL, React.","We are looking for a developer with experience in Next.js, Flask, Node.js, PostgreSQL, React.",1
"Experienced developer skilled in Node.js, Django, Python, Kubernetes, Docker.","We are looking for a developer with experience in Flask, TypeScript, AWS, Next.js, Kafka.",0
"Experienced developer skilled in Django, MongoDB, PostgreSQL, Next.js, React.","We are looking for a developer with experience in Django, MongoDB, PostgreSQL, Next.js, React.",1
"Experienced developer skilled in TypeScript, Node.js, Kubernetes, MongoDB, Kafka.","We are looking for a developer with experience in Docker, Express.js, React, Redis, Next.js.",0
"Experienced developer skilled in Express.js, MongoDB, AWS, Docker, Django.","We are looking for a developer with experience in Express.js, MongoDB, AWS, Docker, Django.",1
"Experienced developer skilled in TypeScript, Node.js, Kubernetes, Flask, Redis.","We are looking for a developer with experience in Docker, MongoDB, Express.js, AWS, Python.",0
"Experienced developer skilled in MongoDB, React, PostgreSQL, Next.js, Express.js.","We are looking for a developer with experience in MongoDB, React, PostgreSQL, Next.js, Express.js.",1
"Experienced developer skilled in React, Express.js, Python, MongoDB, Node.js.","We are looking for a developer with experience in TypeScript, Flask, Kafka, Next.js, Django.",0
"Experienced developer skilled in Node.js, Kafka, AWS, Flask, PostgreSQL.","We are looking for a developer with experience in Node.js, Kafka, AWS, Flask, PostgreSQL.",1
"Experienced developer skilled in PostgreSQL, Flask, Next.js, Node.js, React.","We are looking for a developer with experience in MongoDB, Redis, TypeScript, Docker, Django.",0
"Experienced developer skilled in PostgreSQL, Python, MongoDB, Redis, Django.","We are looking for a developer with experience in PostgreSQL, Python, MongoDB, Redis, Django.",1
"Experienced developer skilled in Kubernetes, MongoDB, AWS, Kafka, Django.","We are looking for a developer with experience in Node.js, Docker, TypeScript, Python, Express.js.",0
"Experienced developer skilled in React, GraphQL, Express.js, Next.js, MongoDB.","We are looking for a developer with experience in React, GraphQL, Express.js, Next.js, MongoDB.",1
"Experienced developer skilled in PostgreSQL, React, Django, Node.js, Kafka.","We are looking for a developer with experience in Python, Express.js, GraphQL, TypeScript, Redis.",0
"Experienced developer skilled in Express.js, TypeScript, Flask, Kubernetes, Redis.","We are looking for a developer with experience in Express.js, TypeScript, Flask, Kubernetes, Redis.",1
"Experienced developer skilled in Python, Docker, TypeScript, Next.js, Kubernetes.","We are looking for a developer with experience in Kafka, React, Django, MongoDB, Flask.",0
"Experienced developer skilled in Django, Kubernetes, GraphQL, Python, Node.js.","We are looking for a developer with experience in Django, Kubernetes, GraphQL, Python, Node.js.",1
"Experienced developer skilled in Redis, AWS, Express.js, Next.js, Node.js.","We are looking for a developer with experience in TypeScript, Flask, PostgreSQL, Django, Kafka.",0
"Experienced developer skilled in Kubernetes, Django, Redis, PostgreSQL, Next.js.","We are looking for a developer with experience in Kubernetes, Django, Redis, PostgreSQL, Next.js.",1
"Experienced developer skilled in React, PostgreSQL, Docker, Next.js, MongoDB.","We are looking for a developer with experience in AWS, GraphQL, Kubernetes, Kafka, Express.js.",0
"Experienced developer skilled in Kafka, MongoDB, React, Django, Node.js.","We are looking for a developer with experience in Kafka, MongoDB, React, Django, Node.js.",1
"Experienced developer skilled in Redis, Kubernetes, MongoDB, Next.js, Django.","We are looking for a developer with experience in Python, Kafka, Express.js, React, Node.js.",0
"Experienced developer skilled in Next.js, Redis, Flask, MongoDB, Express.js.","We are looking for a developer with experience in Next.js, Redis, Flask, MongoDB, Express.js.",1
"Experienced developer skilled in GraphQL, Node.js, React, Django, Python.","We are looking for a developer with experience in Flask, Express.js, AWS, Redis, Next.js.",0
"Experienced developer skilled in Flask, Express.js, Kubernetes, Python, Docker.","We are looking for a developer with experience in Flask, Express.js, Kubernetes, Python, Docker.",1
"Experienced developer skilled in AWS, Docker, React, Next.js, Express.js.","We are looking for a developer with experience in GraphQL, Flask, Python, Django, TypeScript.",0
"Experienced developer skilled in Node.js, AWS, Next.js, Kubernetes, Redis.","We are looking for a developer with experience in Node.js, AWS, Next.js, Kubernetes, Redis.",1
"Experienced developer skilled in Kubernetes, Flask, AWS, MongoDB, TypeScript.","We are looking for a developer with experience in Express.js, Django, Kafka, Docker, Python.",0
"Experienced developer skilled in Redis, Kubernetes, Django, Next.js, Kafka.","We are looking for a developer with experience in Redis, Kubernetes, Django, Next.js, Kafka.",1
"Experienced developer skilled in Docker, Node.js, AWS, Django, Kafka.","We are looking for a developer with experience in PostgreSQL, Next.js, Kubernetes, MongoDB, Flask.",0
"Experienced developer skilled in TypeScript, Flask, MongoDB, Docker, Next.js.","We are looking for a developer with experience in TypeScript, Flask, MongoDB, Docker, Next.js.",1
"Experienced developer skilled in PostgreSQL, React, MongoDB, Django, Kubernetes.","We are looking for a developer with experience in Next.js, GraphQL, Express.js, TypeScript, Flask.",0
"Experienced developer skilled in Docker, Next.js, Node.js, PostgreSQL, Django.","We are looking for a developer with experience in Docker, Next.js, Node.js, PostgreSQL, Django.",1
"Experienced developer skilled in Express.js, TypeScript, Kubernetes, Node.js, Docker.","We are looking for a developer with experience in Kafka, Next.js, PostgreSQL, Python, MongoDB.",0
"Experienced developer skilled in Kafka, Node.js, Kubernetes, AWS, React.","We are looking for a developer with experience in Kafka, Node.js, Kubernetes, AWS, React.",1
"Experienced developer skilled in Python, React, Next.js, Docker, Flask.","We are looking for a developer with experience in GraphQL, Redis, MongoDB, Kubernetes, Express.js.",0
"Experienced developer skilled in AWS, React, Docker, Next.js, Express.js.","We are looking for a developer with experience in AWS, React, Docker, Next.js, Express.js.",1
"Experienced developer skilled in GraphQL, Kubernetes, MongoDB, Express.js, TypeScript.","We are looking for a developer with experience in Kafka, React, AWS, Django, Flask.",0
"Experienced developer skilled in MongoDB, Django, AWS, Kafka, TypeScript.","We are looking for a developer with experience in MongoDB, Django, AWS, Kafka, TypeScript.",1
"Experienced developer skilled in TypeScript, Docker, Next.js, Kafka, Redis.","We are looking for a developer with experience in AWS, Express.js, Kubernetes, Flask, Django.",0
"Experienced developer skilled in Node.js, Kafka, GraphQL, Python, Docker.","We are looking for a developer with experience in Node.js, Kafka, GraphQL, Python, Docker.",1
"Experienced developer skilled in Next.js, Kafka, AWS, Docker, Express.js.","We are looking for a developer with experience in TypeScript, Redis, React, Flask, Node.js.",0
"Experienced developer skilled in Node.js, GraphQL, Next.js, Docker, TypeScript.","We are looking for a developer with experience in Node.js, GraphQL, Next.js, Docker, TypeScript.",1
"Experienced developer skilled in Node.js, PostgreSQL, TypeScript, GraphQL, Python.","We are looking for a developer with experience in Django, Express.js, Kafka, Kubernetes, React.",0
"Experienced developer skilled in MongoDB, Django, Kubernetes, Next.js, TypeScript.","We are looking for a developer with experience in MongoDB, Django, Kubernetes, Next.js, TypeScript.",1
"Experienced developer skilled in Next.js, Docker, PostgreSQL, MongoDB, Redis.","We are looking for a developer with experience in Kubernetes, Django, AWS, Kafka, TypeScript.",0
"Experienced developer skilled in Kafka, AWS, Python, Docker, Express.js.","We are looking for a developer with experience in Kafka, AWS, Python, Docker, Express.js.",1
"Experienced developer skilled in Node.js, PostgreSQL, React, Flask, Next.js.","We are looking for a developer with experience in Express.js, Kafka, TypeScript, Django, GraphQL.",0
"Experienced developer skilled in Python, Node.js, Django, MongoDB, Kafka.","We are looking for a developer with experience in Python, Node.js, Django, MongoDB, Kafka.",1
"Experienced developer skilled in Django, TypeScript, Express.js, Kubernetes, Flask.","We are looking for a developer with experience in Docker, React, MongoDB, Node.js, AWS.",0
"Experienced developer skilled in Django, Kafka, Express.js, Next.js, Python.","We are looking for a developer with experience in Django, Kafka, Express.js, Next.js, Python.",1
"Experienced developer skilled in Flask, Python, Redis, Kubernetes, MongoDB.","We are looking for a developer with experience in GraphQL, Node.js, React, AWS, Django.",0
"Experienced developer skilled in Django, React, Python, Flask, MongoDB.","We are looking for a developer with experience in Django, React, Python, Flask, MongoDB.",1
"Experienced developer skilled in Next.js, MongoDB, PostgreSQL, Kafka, AWS.","We are looking for a developer with experience in Kubernetes, Django, Redis, Flask, Python.",0
"Experienced developer skilled in TypeScript, React, AWS, GraphQL, Express.js.","We are looking for a developer with experience in TypeScript, React, AWS, GraphQL, Express.js.",1
"Experienced developer skilled in PostgreSQL, TypeScript, Express.js, Docker, MongoDB.","We are looking for a developer with experience in Next.js, Redis, Kubernetes, Kafka, Node.js.",0
"Experienced developer skilled in Express.js, Kafka, MongoDB, TypeScript, Kubernetes.","We are looking for a developer with experience in Express.js, Kafka, MongoDB, TypeScript, Kubernetes.",1
"Experienced developer skilled in Docker, Express.js, Python, Next.js, Kafka.","We are looking for a developer with experience in TypeScript, Kubernetes, Redis, GraphQL, Node.js.",0
"Experienced developer skilled in Django, React, Kafka, MongoDB, AWS.","We are looking for a developer with experience in Django, React, Kafka, MongoDB, AWS.",1
"Experienced developer skilled in Django, Node.js, Next.js, Express.js, Redis.","We are looking for a developer with experience in React, MongoDB, PostgreSQL, Kubernetes, Kafka.",0
"Experienced developer skilled in Express.js, Kubernetes, Python, Next.js, Docker.","We are looking for a developer with experience in Express.js, Kubernetes, Python, Next.js, Docker.",1
"Experienced developer skilled in TypeScript, Node.js, React, PostgreSQL, Next.js.","We are looking for a developer with experience in Redis, MongoDB, AWS, Docker, Kubernetes.",0
"Experienced developer skilled in GraphQL, MongoDB, Docker, AWS, Kubernetes.","We are looking for a developer with experience in GraphQL, MongoDB, Docker, AWS, Kubernetes.",1
"Experienced developer skilled in Python, Kubernetes, Express.js, React, Flask.","We are looking for a developer with experience in Node.js, TypeScript, AWS, Kafka, Next.js.",0
"Experienced developer skilled in Redis, React, Express.js, AWS, Docker.","We are looking for a developer with experience in Redis, React, Express.js, AWS, Docker.",1
"Experienced developer skilled in Redis, PostgreSQL, Python, GraphQL, TypeScript.","We are looking for a developer with experience in Node.js, React, AWS, Kafka, Docker.",0
"Experienced developer skilled in PostgreSQL, Django, Docker, Kubernetes, Express.js.","We are looking for a developer with experience in PostgreSQL, Django, Docker, Kubernetes, Express.js.",1
"Experienced developer skilled in Flask, Django, React, Express.js, PostgreSQL.","We are looking for a developer with experience in Kafka, Redis, Python, TypeScript, Node.js.",0
"Experienced developer skilled in Django, PostgreSQL, AWS, Express.js, GraphQL.","We are looking for a developer with experience in Django, PostgreSQL, AWS, Express.js, GraphQL.",1
"Experienced developer skilled in Flask, Redis, PostgreSQL, React, TypeScript.","We are looking for a developer with experience in Docker, Express.js, Next.js, Django, AWS.",0
"Experienced developer skilled in AWS, Flask, GraphQL, Django, Kubernetes.","We are looking for a developer with experience in AWS, Flask, GraphQL, Django, Kubernetes.",1
"Experienced developer skilled in PostgreSQL, React, Redis, Node.js, TypeScript.","We are looking for a developer with experience in Flask, Next.js, AWS, GraphQL, MongoDB.",0
"Experienced developer skilled in TypeScript, Kafka, AWS, Express.js, Next.js.","We are looking for a developer with experience in TypeScript, Kafka, AWS, Express.js, Next.js.",1
"Experienced developer skilled in React, Kubernetes, Python, Flask, Express.js.","We are looking for a developer with experience in Node.js, TypeScript, AWS, Next.js, Docker.",0
"Experienced developer skilled in Express.js, GraphQL, Node.js, Next.js, Kubernetes.","We are looking for a developer with experience in Express.js, GraphQL, Node.js, Next.js, Kubernetes.",1
"Experienced developer skilled in Node.js, Next.js, Docker, AWS, Redis.","We are looking for a developer with experience in Python, TypeScript, Express.js, Kubernetes, MongoDB.",0
"Experienced developer skilled in Node.js, Kubernetes, TypeScript, MongoDB, PostgreSQL.","We are looking for a developer with experience in Node.js, Kubernetes, TypeScript, MongoDB, PostgreSQL.",1
"Experienced developer skilled in AWS, Redis, Flask, TypeScript, Node.js.","We are looking for a developer with experience in Next.js, Kafka, Python, Kubernetes, React.",0
"Experienced developer skilled in MongoDB, Node.js, Flask, PostgreSQL, Kafka.","We are looking for a developer with experience in MongoDB, Node.js, Flask, PostgreSQL, Kafka.",1
"Experienced developer skilled in Node.js, Redis, PostgreSQL, GraphQL, React.","We are looking for a developer with experience in Docker, Kafka, Next.js, Django, AWS.",0
"Experienced developer skilled in AWS, GraphQL, PostgreSQL, Next.js, Docker.","We are looking for a developer with experience in AWS, GraphQL, PostgreSQL, Next.js, Docker.",1
"Experienced developer skilled in TypeScript, MongoDB, Redis, Express.js, React.","We are looking for a developer with experience in GraphQL, Node.js, Flask, Next.js, Docker.",0
"Experienced developer skilled in AWS, Flask, Redis, Express.js, Python.","We are looking for a developer with experience in AWS, Flask, Redis, Express.js, Python.",1
"Experienced developer skilled in Kubernetes, Kafka, Express.js, React, GraphQL.","We are looking for a developer with experience in MongoDB, Next.js, Django, AWS, Python.",0
"Experienced developer skilled in Docker, TypeScript, Next.js, Kafka, GraphQL.","We are looking for a developer with experience in Docker, TypeScript, Next.js, Kafka, GraphQL.",1
"Experienced developer skilled in TypeScript, PostgreSQL, Express.js, Next.js, Flask.","We are looking for a developer with experience in Python, Django, Redis, AWS, React.",0
"Experienced developer skilled in GraphQL, Docker, React, TypeScript, AWS.","We are looking for a developer with experience in GraphQL, Docker, React, TypeScript, AWS.",1
"Experienced developer skilled in Django, MongoDB, AWS, GraphQL, PostgreSQL.","We are looking for a developer with experience in Node.js, Docker, Express.js, Next.js, React.",0
"Experienced developer skilled in PostgreSQL, Express.js, Python, Kafka, Node.js.","We are looking for a developer with experience in PostgreSQL, Express.js, Python, Kafka, Node.js.",1
"Experienced developer skilled in GraphQL, Next.js, Kafka, MongoDB, PostgreSQL.","We are looking for a developer with experience in Kubernetes, Redis, Python, Flask, React.",0
"Experienced developer skilled in Express.js, MongoDB, Kafka, AWS, GraphQL.","We are looking for a developer with experience in Express.js, MongoDB, Kafka, AWS, GraphQL.",1
"Experienced developer skilled in Next.js, Kafka, Flask, Redis, Python.","We are looking for a developer with experience in Express.js, PostgreSQL, TypeScript, MongoDB, Kubernetes.",0
"Experienced developer skilled in Redis, GraphQL, Kafka, Node.js, Express.js.","We are looking for a developer with experience in Redis, GraphQL, Kafka, Node.js, Express.js.",1
"Experienced developer skilled in Redis, Docker, Kafka, Next.js, Express.js.","We are looking for a developer with experience in Kubernetes, Django, Python, Flask, MongoDB.",0
"Experienced developer skilled in Kafka, PostgreSQL, Python, React, Django.","We are looking for a developer with experience in Kafka, PostgreSQL, Python, React, Django.",1
"Experienced developer skilled in Python, MongoDB, Redis, TypeScript, Kubernetes.","We are looking for a developer with experience in AWS, Kafka, Node.js, GraphQL, Express.js.",0
"Experienced developer skilled in MongoDB, Kubernetes, AWS, React, Python.","We are looking for a developer with experience in MongoDB, Kubernetes, AWS, React, Python.",1
"Experienced developer skilled in PostgreSQL, TypeScript, Redis, Next.js, MongoDB.","We are looking for a developer with experience in Node.js, GraphQL, Django, Express.js, AWS.",0
"Experienced developer skilled in MongoDB, React, GraphQL, TypeScript, Redis.","We are looking for a developer with experience in MongoDB, React, GraphQL, TypeScript, Redis.",1
"Experienced developer skilled in Django, Python, Redis, Kubernetes, Next.js.","We are looking for a developer with experience in Kafka, MongoDB, React, TypeScript, Express.js.",0
"Experienced developer skilled in Django, React, Express.js, Next.js, Redis.","We are looking for a developer with experience in Django, React, Express.js, Next.js, Redis.",1
"Experienced developer skilled in Redis, Kubernetes, AWS, MongoDB, Flask.","We are looking for a developer with experience in TypeScript, Next.js, Django, React, PostgreSQL.",0
"Experienced developer skilled in Python, Node.js, Redis, Django, Kubernetes.","We are looking for a developer with experience in Python, Node.js, Redis, Django, Kubernetes.",1
"Experienced developer skilled in Kubernetes, Next.js, Flask, React, PostgreSQL.","We are looking for a developer with experience in Express.js, Python, Django, Node.js, Kafka.",0
"Experienced developer skilled in AWS, Express.js, Django, Node.js, MongoDB.","We are looking for a developer with experience in AWS, Express.js, Django, Node.js, MongoDB.",1
"Experienced developer skilled in GraphQL, React, TypeScript, Express.js, MongoDB.","We are looking for a developer with experience in Flask, PostgreSQL, Next.js, Node.js, Python.",0
"Experienced developer skilled in Flask, Python, Kafka, PostgreSQL, TypeScript.","We are looking for a developer with experience in Flask, Python, Kafka, PostgreSQL, TypeScript.",1
"Experienced developer skilled in TypeScript, Flask, Docker, Django, Express.js.","We are looking for a developer with experience in React, Node.js, AWS, Python, Kafka.",0
"Experienced developer skilled in Next.js, TypeScript, AWS, React, Express.js.","We are looking for a developer with experience in Next.js, TypeScript, AWS, React, Express.js.",1
"Experienced developer skilled in Python, Kubernetes, Kafka, Django, React.","We are looking for a developer with experience in Express.js, Node.js, TypeScript, Docker, AWS.",0
"Experienced developer skilled in Express.js, Node.js, AWS, Redis, PostgreSQL.","We are looking for a developer with experience in Express.js, Node.js, AWS, Redis, PostgreSQL.",1
"Experienced developer skilled in Kafka, Flask, React, PostgreSQL, AWS.","We are looking for a developer with experience in Redis, GraphQL, Django, Python, MongoDB.",0
"Experienced developer skilled in PostgreSQL, Express.js, MongoDB, Kubernetes, React.","We are looking for a developer with experience in PostgreSQL, Express.js, MongoDB, Kubernetes, React.",1
"Experienced developer skilled in MongoDB, Express.js, Node.js, Python, PostgreSQL.","We are looking for a developer with experience in Docker, Redis, AWS, Kafka, Kubernetes.",0
"Experienced developer skilled in Express.js, PostgreSQL, AWS, Next.js, Kubernetes.","We are looking for a developer with experience in Express.js, PostgreSQL, AWS, Next.js, Kubernetes.",1
"Experienced developer skilled in Flask, AWS, Express.js, GraphQL, Python.","We are looking for a developer with experience in Redis, MongoDB, Kubernetes, React, Next.js.",0
"Experienced developer skilled in React, Node.js, AWS, Kubernetes, Docker.","We are looking for a developer with experience in React, Node.js, AWS, Kubernetes, Docker.",1
"Experienced developer skilled in Node.js, GraphQL, MongoDB, Kubernetes, AWS.","We are looking for a developer with experience in Next.js, Kafka, Express.js, PostgreSQL, Redis.",0
"Experienced developer skilled in AWS, Flask, React, Python, Kubernetes.","We are looking for a developer with experience in AWS, Flask, React, Python, Kubernetes.",1
"Experienced developer skilled in Kafka, AWS, Flask, GraphQL, PostgreSQL.","We are looking for a developer with experience in Redis, Python, TypeScript, MongoDB, Express.js.",0
"Experienced developer skilled in React, Django, GraphQL, Redis, Next.js.","We are looking for a developer with experience in React, Django, GraphQL, Redis, Next.js.",1
"Experienced developer skilled in Flask, GraphQL, Kafka, Kubernetes, Node.js.","We are looking for a developer with experience in MongoDB, Next.js, AWS, Express.js, React.",0
"Experienced developer skilled in AWS, Python, React, Redis, GraphQL.","We are looking for a developer with experience in AWS, Python, React, Redis, GraphQL.",1
"Experienced developer skilled in Python, React, Kafka, MongoDB, PostgreSQL.","We are looking for a developer with experience in Node.js, Django, AWS, Next.js, Docker.",0
"Experienced developer skilled in Node.js, Django, MongoDB, Kubernetes, Next.js.","We are looking for a developer with experience in Node.js, Django, MongoDB, Kubernetes, Next.js.",1
"Experienced developer skilled in Express.js, TypeScript, AWS, Django, GraphQL.","We are looking for a developer with experience in MongoDB, Python, Redis, PostgreSQL, Kafka.",0
"Experienced developer skilled in Python, Express.js, React, Redis, Kafka.","We are looking for a developer with experience in Python, Express.js, React, Redis, Kafka.",1
"Experienced developer skilled in Redis, Flask, Python, Node.js, Kubernetes.","We are looking for a developer with experience in Django, React, TypeScript, AWS, Next.js.",0
"Experienced developer skilled in Kafka, Docker, GraphQL, Express.js, PostgreSQL.","We are looking for a developer with experience in Kafka, Docker, GraphQL, Express.js, PostgreSQL.",1
"Experienced developer skilled in TypeScript, React, Flask, Django, PostgreSQL.","We are looking for a developer with experience in Docker, Express.js, GraphQL, Python, Redis.",0
"Experienced developer skilled in TypeScript, Flask, React, Node.js, GraphQL.","We are looking for a developer with experience in TypeScript, Flask, React, Node.js, GraphQL.",1
"Experienced developer skilled in Next.js, MongoDB, React, Redis, GraphQL.","We are looking for a developer with experience in Kafka, Flask, Python, Express.js, AWS.",0
"Experienced developer skilled in MongoDB, GraphQL, Express.js, Docker, React.","We are looking for a developer with experience in MongoDB, GraphQL, Express.js, Docker, React.",1
"Experienced developer skilled in Express.js, Node.js, Flask, Kubernetes, Docker.","We are looking for a developer with experience in PostgreSQL, React, TypeScript, Next.js, Python.",0
"Experienced developer skilled in TypeScript, Docker, GraphQL, Flask, Kafka.","We are looking for a developer with experience in TypeScript, Docker, GraphQL, Flask, Kafka.",1
"Experienced developer skilled in Docker, Django, TypeScript, Node.js, Redis.","We are looking for a developer with experience in React, MongoDB, Kubernetes, Kafka, Next.js.",0
"Experienced developer skilled in Next.js, Kafka, TypeScript, Express.js, GraphQL.","We are looking for a developer with experience in Next.js, Kafka, TypeScript, Express.js, GraphQL.",1
"Experienced developer skilled in PostgreSQL, Django, AWS, Node.js, Flask.","We are looking for a developer with experience in TypeScript, Redis, Docker, Next.js, Python.",0
"Experienced developer skilled in MongoDB, Express.js, Next.js, Docker, Flask.","We are looking for a developer with experience in MongoDB, Express.js, Next.js, Docker, Flask.",1
"Experienced developer skilled in Docker, AWS, Node.js, Flask, MongoDB.","We are looking for a developer with experience in Redis, Express.js, Next.js, GraphQL, Django.",0
"Experienced developer skilled in Django, GraphQL, React, AWS, Flask.","We are looking for a developer with experience in Django, GraphQL, React, AWS, Flask.",1
"Experienced developer skilled in Kubernetes, Node.js, AWS, Docker, Python.","We are looking for a developer with experience in Django, Kafka, MongoDB, React, TypeScript.",0
"Experienced developer skilled in MongoDB, Python, Docker, Flask, Kubernetes.","We are looking for a developer with experience in MongoDB, Python, Docker, Flask, Kubernetes.",1
"Experienced developer skilled in GraphQL, PostgreSQL, Node.js, MongoDB, AWS.","We are looking for a developer with experience in Docker, Python, Kafka, Flask, Kubernetes.",0
"Experienced developer skilled in GraphQL, Python, Kafka, Express.js, Next.js.","We are looking for a developer with experience in GraphQL, Python, Kafka, Express.js, Next.js.",1
"Experienced developer skilled in GraphQL, Python, Express.js, MongoDB, Next.js.","We are looking for a developer with experience in PostgreSQL, TypeScript, Docker, Kubernetes, Node.js.",0
"Experienced developer skilled in TypeScript, Node.js, Express.js, Flask, React.","We are looking for a developer with experience in TypeScript, Node.js, Express.js, Flask, React.",1
"Experienced developer skilled in PostgreSQL, Python, TypeScript, Node.js, Kafka.","We are looking for a developer with experience in Docker, React, Django, Express.js, MongoDB.",0
"Experienced developer skilled in Node.js, Django, MongoDB, Next.js, React.","We are looking for a developer with experience in Node.js, Django, MongoDB, Next.js, React.",1
"Experienced developer skilled in Express.js, React, Kubernetes, Python, GraphQL.","We are looking for a developer with experience in AWS, MongoDB, Django, Docker, TypeScript.",0
"Experienced developer skilled in Docker, MongoDB, TypeScript, PostgreSQL, React.","We are looking for a developer with experience in Docker, MongoDB, TypeScript, PostgreSQL, React.",1
"Experienced developer skilled in PostgreSQL, TypeScript, MongoDB, Node.js, React.","We are looking for a developer with experience in Express.js, Flask, Django, Kafka, Python.",0
"Experienced developer skilled in Express.js, Flask, TypeScript, Django, Docker.","We are looking for a developer with experience in Express.js, Flask, TypeScript, Django, Docker.",1
"Experienced developer skilled in GraphQL, Node.js, Kafka, React, PostgreSQL.","We are looking for a developer with experience in Kubernetes, TypeScript, Flask, Python, Express.js.",0
"Experienced developer skilled in React, TypeScript, Express.js, AWS, Redis.","We are looking for a developer with experience in React, TypeScript, Express.js, AWS, Redis.",1
